iter,fitness,time,XPL,XPT,DIV
0,438.7867571231567,0.005,100.0,0.0,2.456
1,380.50920691780027,0.006,75.29,24.71,1.849
2,360.42741964697444,0.006,55.09,44.91,1.353
3,360.42741964697444,0.006,42.96,57.04,1.055
4,334.21388986719404,0.005,40.39,59.61,0.992
5,334.21388986719404,0.006,37.46,62.54,0.92
6,315.68831637382056,0.005,37.3,62.7,0.916
7,288.12576824124335,0.006,35.95,64.05,0.883
8,288.12576824124335,0.006,32.13,67.87,0.789
9,288.12576824124335,0.006,30.29,69.71,0.744
10,288.12576824124335,0.005,28.58,71.42,0.702
11,282.2342452312994,0.005,29.89,70.11,0.734
12,282.2342452312994,0.006,32.78,67.22,0.805
13,282.2342452312994,0.005,31.47,68.53,0.773
14,282.2342452312994,0.006,28.3,71.7,0.695
15,282.2342452312994,0.006,27.52,72.48,0.676
16,282.2342452312994,0.006,26.79,73.21,0.658
17,274.0614912326396,0.006,24.67,75.33,0.606
18,219.79643662397845,0.005,24.76,75.24,0.608
19,215.12412728811006,0.006,22.56,77.44,0.554
20,215.12412728811006,0.006,21.38,78.62,0.525
21,201.12113924006547,0.006,20.6,79.4,0.506
22,201.12113924006547,0.006,20.64,79.36,0.507
23,183.08920929730064,0.006,19.18,80.82,0.471
24,166.60818329110822,0.006,16.21,83.79,0.398
25,166.60818329110822,0.006,16.12,83.88,0.396
26,166.60818329110822,0.006,17.06,82.94,0.419
27,150.65978765542127,0.006,17.18,82.82,0.422
28,146.22655648428434,0.006,13.64,86.36,0.335
29,146.22655648428434,0.005,13.68,86.32,0.336
30,146.22655648428434,0.006,13.03,86.97,0.32
31,119.41538904428168,0.007,12.79,87.21,0.314
32,119.41538904428168,0.006,12.01,87.99,0.295
33,119.41538904428168,0.006,9.32,90.68,0.229
34,119.41538904428168,0.006,8.71,91.29,0.214
35,82.2671705777341,0.006,9.08,90.92,0.223
36,78.29539207206261,0.006,7.94,92.06,0.195
37,78.29539207206261,0.006,6.68,93.32,0.164
38,78.29539207206261,0.006,6.47,93.53,0.159
39,62.966086156274514,0.005,5.78,94.22,0.142
40,62.966086156274514,0.005,6.64,93.36,0.163
41,62.966086156274514,0.007,8.02,91.98,0.197
42,62.966086156274514,0.005,6.92,93.08,0.17
43,62.2993372942085,0.006,5.78,94.22,0.142
44,62.2993372942085,0.006,6.43,93.57,0.158
45,62.2993372942085,0.005,5.37,94.63,0.132
46,58.52229228394043,0.006,5.25,94.75,0.129
47,50.75508141678185,0.006,4.44,95.56,0.109
48,39.328067815720374,0.005,4.36,95.64,0.107
49,39.328067815720374,0.006,4.56,95.44,0.112
50,35.667787621015066,0.007,4.48,95.52,0.11
51,19.085299967943513,0.005,5.09,94.91,0.125
52,19.085299967943513,0.008,4.4,95.6,0.108
53,19.085299967943513,0.007,3.66,96.34,0.09
54,19.085299967943513,0.006,2.89,97.11,0.071
55,19.085299967943513,0.007,2.73,97.27,0.067
56,19.085299967943513,0.006,2.16,97.84,0.053
57,17.940579410577584,0.006,2.0,98.0,0.049
58,17.940579410577584,0.006,2.69,97.31,0.066
59,17.940579410577584,0.006,2.04,97.96,0.05
60,17.940579410577584,0.007,1.67,98.33,0.041
61,14.958465499025351,0.006,2.4,97.6,0.059
62,14.391489934292508,0.006,2.0,98.0,0.049
63,12.53008618384888,0.006,1.87,98.13,0.046
64,11.688912716432924,0.007,1.43,98.57,0.035
65,4.114358892311486,0.007,1.38,98.62,0.034
66,4.114358892311486,0.006,1.59,98.41,0.039
67,4.114358892311486,0.006,1.34,98.66,0.033
68,4.114358892311486,0.006,1.02,98.98,0.025
69,3.5820925529647525,0.006,0.77,99.23,0.019
70,1.3989387430863758,0.006,0.45,99.55,0.011
71,0.9299763847611189,0.006,0.29,99.71,0.007
72,0.49357666236574005,0.006,0.24,99.76,0.006
73,0.41512435534502856,0.006,0.16,99.84,0.004
74,0.31191787592132414,0.006,0.12,99.88,0.003
75,0.27631994159730766,0.006,0.12,99.88,0.003
76,0.24265058432519027,0.007,0.12,99.88,0.003
77,0.15946057817694737,0.006,0.08,99.92,0.002
78,0.11388610221388262,0.006,0.08,99.92,0.002
79,0.0808331639127573,0.007,0.08,99.92,0.002
80,0.04452136706066767,0.006,0.08,99.92,0.002
81,0.021492615487716193,0.007,0.04,99.96,0.001
82,0.013007295555155451,0.006,0.04,99.96,0.001
83,0.00919893884645262,0.006,0.04,99.96,0.001
84,0.008348653300970454,0.006,0.04,99.96,0.001
85,0.004115978403774534,0.006,0.0,100.0,0.0
86,0.003024622994814763,0.006,0.0,100.0,0.0
87,0.002231746893187392,0.006,0.0,100.0,0.0
88,0.0014126195138715048,0.005,0.0,100.0,0.0
89,0.0012945599602858238,0.006,0.0,100.0,0.0
90,0.0008242786385039835,0.006,0.0,100.0,0.0
91,0.0005222385982506239,0.006,0.0,100.0,0.0
92,0.0003115469017416217,0.006,0.0,100.0,0.0
93,0.0002671656588972837,0.006,0.0,100.0,0.0
94,0.00011898510109631388,0.005,0.0,100.0,0.0
95,0.00011898510109631388,0.005,0.0,100.0,0.0
96,8.462274001885817e-05,0.007,0.0,100.0,0.0
97,5.839155801368179e-05,0.005,0.0,100.0,0.0
