iter,fitness,time,XPL,XPT,DIV
1,11011.0,0.304,45.87,54.13,0.222
2,4986.0,0.834,26.24,73.76,0.127
3,2388.0,1.395,15.08,84.92,0.073
4,1190.0,1.641,8.06,91.94,0.039
