iter,fitness,time,XPL,XPT,DIV
1,10878.0,0.295,45.04,54.96,0.218
2,5550.0,0.763,24.38,75.62,0.118
3,2674.0,1.324,15.7,84.3,0.076
4,1354.0,1.522,9.71,90.29,0.047
