iter,fitness,time,XPL,XPT,DIV
109,3.2813043187187643,0.008,0.25,99.75,0.124
110,3.2813043187187643,0.009,0.22,99.78,0.109
111,3.2813043187187643,0.008,0.21,99.79,0.105
112,3.2813043187187643,0.009,0.22,99.78,0.108
113,3.2813043187187643,0.01,0.2,99.8,0.099
114,2.781684940315275,0.009,0.2,99.8,0.1
115,2.781684940315275,0.01,0.21,99.79,0.104
116,2.781684940315275,0.008,0.21,99.79,0.104
117,2.5550127216432577,0.01,0.19,99.81,0.093
118,1.0881708657223217,0.008,0.16,99.84,0.077
119,1.0881708657223217,0.009,0.12,99.88,0.06
120,0.8668999762035071,0.009,0.1,99.9,0.049
121,0.8668999762035071,0.009,0.1,99.9,0.048
122,0.8668999762035071,0.008,0.1,99.9,0.049
123,0.7918227088691864,0.008,0.1,99.9,0.048
124,0.5080558284162224,0.011,0.08,99.92,0.038
125,0.3609637640009088,0.009,0.07,99.93,0.033
126,0.3396182020650765,0.009,0.07,99.93,0.033
127,0.3396182020650765,0.009,0.07,99.93,0.033
128,0.32652023121122115,0.009,0.06,99.94,0.03
129,0.32652023121122115,0.009,0.07,99.93,0.033
130,0.32652023121122115,0.009,0.07,99.93,0.032
131,0.32652023121122115,0.008,0.06,99.94,0.03
132,0.32652023121122115,0.008,0.06,99.94,0.029
133,0.23781546472757772,0.009,0.06,99.94,0.028
134,0.1900495467795683,0.009,0.04,99.96,0.022
135,0.11652922105328449,0.009,0.04,99.96,0.018
136,0.11300962822824788,0.008,0.03,99.97,0.017
137,0.08733361774294214,0.009,0.03,99.97,0.014
138,0.08227183658637213,0.009,0.02,99.98,0.011
139,0.08227183658637213,0.009,0.02,99.98,0.011
140,0.07071545239290876,0.008,0.02,99.98,0.01
141,0.04321918127210969,0.01,0.02,99.98,0.01
142,0.03037601365885929,0.008,0.02,99.98,0.01
143,0.03037601365885929,0.009,0.02,99.98,0.01
144,0.03037601365885929,0.009,0.02,99.98,0.008
145,0.03037601365885929,0.009,0.02,99.98,0.008
146,0.02342528784785502,0.009,0.01,99.99,0.007
147,0.014222962416921638,0.008,0.01,99.99,0.006
148,0.010379784249912333,0.009,0.01,99.99,0.005
149,0.010379784249912333,0.008,0.01,99.99,0.005
150,0.010379784249912333,0.01,0.01,99.99,0.004
151,0.010379784249912333,0.008,0.01,99.99,0.004
152,0.010379784249912333,0.009,0.01,99.99,0.004
153,0.009194881186202779,0.009,0.01,99.99,0.004
154,0.009194881186202779,0.009,0.01,99.99,0.004
155,0.006396363889399938,0.009,0.01,99.99,0.003
156,0.006396363889399938,0.009,0.01,99.99,0.003
157,0.006396363889399938,0.008,0.01,99.99,0.003
158,0.006396363889399938,0.009,0.01,99.99,0.003
159,0.005899023477244404,0.009,0.01,99.99,0.003
160,0.005899023477244404,0.008,0.01,99.99,0.003
161,0.004735675149216593,0.009,0.01,99.99,0.003
162,0.003682093458660299,0.01,0.0,100.0,0.002
163,0.003682093458660299,0.009,0.0,100.0,0.002
164,0.0030924698765655337,0.008,0.0,100.0,0.002
165,0.0026865563776286598,0.009,0.0,100.0,0.002
166,0.0018915183590637304,0.009,0.0,100.0,0.002
167,0.0014374597497256395,0.01,0.0,100.0,0.002
168,0.0010047574367484638,0.009,0.0,100.0,0.002
169,0.0008672791158405393,0.009,0.0,100.0,0.001
170,0.0007176509824082068,0.008,0.0,100.0,0.001
171,0.0007176509824082068,0.009,0.0,100.0,0.001
172,0.0005722738020292757,0.009,0.0,100.0,0.001
173,0.0005722738020292757,0.008,0.0,100.0,0.001
174,0.0005722738020292757,0.009,0.0,100.0,0.001
175,0.0005722738020292757,0.008,0.0,100.0,0.001
176,0.0004422826274488148,0.009,0.0,100.0,0.001
177,0.0004422826274488148,0.008,0.0,100.0,0.001
178,0.00044096710180793617,0.009,0.0,100.0,0.001
179,0.0003261339765427668,0.009,0.0,100.0,0.001
180,0.0003137066588789502,0.009,0.0,100.0,0.001
181,0.00027515038706894796,0.009,0.0,100.0,0.001
182,0.00022204605046308555,0.009,0.0,100.0,0.001
183,0.00015117048948728594,0.009,0.0,100.0,0.001
184,0.00015117048948728594,0.009,0.0,100.0,0.001
185,0.00015117048948728594,0.009,0.0,100.0,0.001
186,0.00015117048948728594,0.008,0.0,100.0,0.0
187,0.00015117048948728594,0.009,0.0,100.0,0.0
188,0.00015117048948728594,0.009,0.0,100.0,0.001
189,0.00015117048948728594,0.01,0.0,100.0,0.0
190,8.532175325274028e-05,0.008,0.0,100.0,0.0
191,8.532175325274028e-05,0.01,0.0,100.0,0.0
192,8.447207966771698e-05,0.009,0.0,100.0,0.0
193,7.61405702504684e-05,0.009,0.0,100.0,0.0
194,6.294919906545841e-05,0.009,0.0,100.0,0.0
195,6.294919906545841e-05,0.008,0.0,100.0,0.0
196,4.1140637333958066e-05,0.01,0.0,100.0,0.0
197,3.422623951851459e-05,0.008,0.0,100.0,0.0
198,3.0150231909824285e-05,0.01,0.0,100.0,0.0
199,1.96956404624217e-05,0.008,0.0,100.0,0.0
200,1.96956404624217e-05,0.009,0.0,100.0,0.0
201,1.96956404624217e-05,0.01,0.0,100.0,0.0
202,9.748704306843973e-06,0.01,0.0,100.0,0.0
203,9.748704306843973e-06,0.009,0.0,100.0,0.0
204,8.493094851632369e-06,0.009,0.0,100.0,0.0
205,8.493094851632369e-06,0.009,0.0,100.0,0.0
206,6.650445526592406e-06,0.008,0.0,100.0,0.0
207,6.650445526592406e-06,0.01,0.0,100.0,0.0
208,6.650445526592406e-06,0.008,0.0,100.0,0.0
209,6.650445526592406e-06,0.008,0.0,100.0,0.0
210,6.191826044263032e-06,0.008,0.0,100.0,0.0
211,6.191826044263032e-06,0.008,0.0,100.0,0.0
212,4.570554594387459e-06,0.009,0.0,100.0,0.0
213,4.570554594387459e-06,0.01,0.0,100.0,0.0
214,4.570554594387459e-06,0.009,0.0,100.0,0.0
215,3.910171326187833e-06,0.009,0.0,100.0,0.0
216,3.241441195136648e-06,0.009,0.0,100.0,0.0
217,3.2004667571792513e-06,0.009,0.0,100.0,0.0
218,3.2004667571792513e-06,0.008,0.0,100.0,0.0
219,3.2004667571792513e-06,0.009,0.0,100.0,0.0
220,3.2004667571792513e-06,0.01,0.0,100.0,0.0
221,2.9647427889919895e-06,0.008,0.0,100.0,0.0
222,2.5121813986772773e-06,0.01,0.0,100.0,0.0
223,1.954054017655459e-06,0.009,0.0,100.0,0.0
224,1.7424583685594168e-06,0.01,0.0,100.0,0.0
225,1.3549740139303012e-06,0.009,0.0,100.0,0.0
226,1.3549740139303012e-06,0.009,0.0,100.0,0.0
227,1.3549740139303012e-06,0.009,0.0,100.0,0.0
228,1.3549740139303012e-06,0.009,0.0,100.0,0.0
229,1.128878140908575e-06,0.009,0.0,100.0,0.0
230,1.128878140908575e-06,0.008,0.0,100.0,0.0
231,1.0049801743179677e-06,0.009,0.0,100.0,0.0
232,8.0721426456035e-07,0.009,0.0,100.0,0.0
233,5.506839283242805e-07,0.009,0.0,100.0,0.0
234,5.0567914347194e-07,0.009,0.0,100.0,0.0
235,4.6944541112307906e-07,0.009,0.0,100.0,0.0
236,4.0424588136576383e-07,0.009,0.0,100.0,0.0
237,3.146939758429543e-07,0.01,0.0,100.0,0.0
238,3.1320671091569144e-07,0.009,0.0,100.0,0.0
239,2.6154769987454153e-07,0.008,0.0,100.0,0.0
240,2.6154769987454153e-07,0.009,0.0,100.0,0.0
241,2.2988333935076622e-07,0.01,0.0,100.0,0.0
242,2.2988333935076622e-07,0.009,0.0,100.0,0.0
243,2.2225831873125132e-07,0.009,0.0,100.0,0.0
244,1.8120691525821873e-07,0.01,0.0,100.0,0.0
245,1.680126727060598e-07,0.008,0.0,100.0,0.0
246,1.680126727060598e-07,0.01,0.0,100.0,0.0
247,1.2347816660200546e-07,0.009,0.0,100.0,0.0
248,1.2347816660200546e-07,0.008,0.0,100.0,0.0
249,1.175769084568298e-07,0.009,0.0,100.0,0.0
250,1.175769084568298e-07,0.008,0.0,100.0,0.0
251,1.175769084568298e-07,0.009,0.0,100.0,0.0
252,1.175769084568298e-07,0.008,0.0,100.0,0.0
253,1.175769084568298e-07,0.01,0.0,100.0,0.0
254,8.845448288526712e-08,0.008,0.0,100.0,0.0
255,8.845448288526712e-08,0.008,0.0,100.0,0.0
256,8.632918523593528e-08,0.008,0.0,100.0,0.0
257,6.830451745079948e-08,0.009,0.0,100.0,0.0
258,6.830451745079948e-08,0.009,0.0,100.0,0.0
259,6.445797143952771e-08,0.008,0.0,100.0,0.0
260,6.097907013472457e-08,0.009,0.0,100.0,0.0
261,4.805224876791867e-08,0.008,0.0,100.0,0.0
262,4.805224876791867e-08,0.009,0.0,100.0,0.0
263,4.575621728113124e-08,0.009,0.0,100.0,0.0
264,4.575621728113124e-08,0.009,0.0,100.0,0.0
265,3.820632530692656e-08,0.009,0.0,100.0,0.0
266,3.004245949984661e-08,0.009,0.0,100.0,0.0
267,3.004245949984661e-08,0.009,0.0,100.0,0.0
268,3.004245949984661e-08,0.01,0.0,100.0,0.0
269,3.004245949984661e-08,0.009,0.0,100.0,0.0
270,3.004245949984661e-08,0.009,0.0,100.0,0.0
271,3.004245949984661e-08,0.008,0.0,100.0,0.0
272,3.004245949984661e-08,0.008,0.0,100.0,0.0
273,2.933358359938462e-08,0.009,0.0,100.0,0.0
274,2.933358359938462e-08,0.01,0.0,100.0,0.0
275,2.4171890656116917e-08,0.009,0.0,100.0,0.0
276,2.121705972134352e-08,0.009,0.0,100.0,0.0
277,2.121705972134352e-08,0.009,0.0,100.0,0.0
278,1.6995112412644042e-08,0.009,0.0,100.0,0.0
279,1.4453402358878203e-08,0.011,0.0,100.0,0.0
280,1.4453402358878203e-08,0.011,0.0,100.0,0.0
281,1.4453402358878203e-08,0.009,0.0,100.0,0.0
282,1.04013856730435e-08,0.009,0.0,100.0,0.0
283,1.04013856730435e-08,0.008,0.0,100.0,0.0
284,1.04013856730435e-08,0.009,0.0,100.0,0.0
285,1.04013856730435e-08,0.009,0.0,100.0,0.0
286,7.072754563665837e-09,0.008,0.0,100.0,0.0
287,7.072754563665837e-09,0.008,0.0,100.0,0.0
288,7.072754563665837e-09,0.008,0.0,100.0,0.0
289,6.8939288473693324e-09,0.01,0.0,100.0,0.0
290,5.711926326593729e-09,0.008,0.0,100.0,0.0
291,5.711926326593729e-09,0.01,0.0,100.0,0.0
292,5.711926326593729e-09,0.009,0.0,100.0,0.0
293,5.337610963663348e-09,0.009,0.0,100.0,0.0
294,5.337610963663348e-09,0.009,0.0,100.0,0.0
295,5.337610963663348e-09,0.009,0.0,100.0,0.0
296,4.826485857454875e-09,0.009,0.0,100.0,0.0
297,3.944521262740513e-09,0.009,0.0,100.0,0.0
298,3.944521262740513e-09,0.009,0.0,100.0,0.0
299,3.3610048202682892e-09,0.009,0.0,100.0,0.0
300,3.2925185205425066e-09,0.01,0.0,100.0,0.0
301,3.0825678003918493e-09,0.008,0.0,100.0,0.0
302,3.0825678003918493e-09,0.008,0.0,100.0,0.0
303,3.0825678003918493e-09,0.009,0.0,100.0,0.0
304,3.0377354376888216e-09,0.01,0.0,100.0,0.0
305,2.8800811809883453e-09,0.008,0.0,100.0,0.0
306,2.5781653140862937e-09,0.009,0.0,100.0,0.0
307,2.5781653140862937e-09,0.009,0.0,100.0,0.0
308,2.486695646418469e-09,0.009,0.0,100.0,0.0
309,2.486695646418469e-09,0.008,0.0,100.0,0.0
310,2.486695646418469e-09,0.01,0.0,100.0,0.0
311,2.1412470116993234e-09,0.009,0.0,100.0,0.0
312,2.074289502269677e-09,0.008,0.0,100.0,0.0
313,1.8305350709231413e-09,0.009,0.0,100.0,0.0
314,1.8305350709231413e-09,0.008,0.0,100.0,0.0
315,1.8305350709231413e-09,0.009,0.0,100.0,0.0
316,1.6087430076847845e-09,0.009,0.0,100.0,0.0
317,1.5550330581937359e-09,0.009,0.0,100.0,0.0
318,1.5550330581937359e-09,0.009,0.0,100.0,0.0
319,1.4852115569452969e-09,0.009,0.0,100.0,0.0
