iter,fitness,time,XPL,XPT,DIV
0,69128.42455120686,0.007,100.0,0.0,48.973
1,69128.42455120686,0.009,74.77,25.23,36.617
2,69128.42455120686,0.009,59.78,40.22,29.275
3,69128.42455120686,0.009,51.87,48.13,25.404
4,51071.72872181785,0.009,42.18,57.82,20.658
5,51071.72872181785,0.009,39.34,60.66,19.264
6,51071.72872181785,0.009,34.23,65.77,16.765
7,51071.72872181785,0.009,33.21,66.79,16.265
8,48998.90682785255,0.009,35.64,64.36,17.454
9,48998.90682785255,0.009,37.03,62.97,18.135
10,47345.90711048852,0.009,33.52,66.48,16.416
11,32904.57301717014,0.009,31.65,68.35,15.498
12,32904.57301717014,0.009,26.73,73.27,13.09
13,32904.57301717014,0.01,27.94,72.06,13.682
14,32904.57301717014,0.011,25.49,74.51,12.484
15,32904.57301717014,0.01,26.45,73.55,12.951
16,32904.57301717014,0.01,29.79,70.21,14.591
17,32904.57301717014,0.01,29.11,70.89,14.255
18,32904.57301717014,0.008,27.21,72.79,13.328
19,32904.57301717014,0.01,26.4,73.6,12.928
20,25412.46113388021,0.008,24.56,75.44,12.03
21,25412.46113388021,0.009,22.81,77.19,11.169
22,25412.46113388021,0.008,23.97,76.03,11.74
23,25412.46113388021,0.009,23.56,76.44,11.537
24,25412.46113388021,0.009,23.75,76.25,11.633
25,18350.121522640584,0.008,25.86,74.14,12.663
26,18350.121522640584,0.011,26.14,73.86,12.801
27,18350.121522640584,0.012,24.01,75.99,11.759
28,18350.121522640584,0.009,19.27,80.73,9.435
29,18350.121522640584,0.01,19.61,80.39,9.605
30,18091.98887336097,0.008,19.28,80.72,9.442
31,15943.135892054197,0.01,15.85,84.15,7.764
32,15943.135892054197,0.008,18.53,81.47,9.074
33,15496.346221597527,0.009,17.42,82.58,8.531
34,15496.346221597527,0.009,17.28,82.72,8.462
35,15496.346221597527,0.009,15.85,84.15,7.764
36,12613.597585520954,0.009,15.91,84.09,7.792
37,8453.960317902598,0.01,16.1,83.9,7.883
38,8453.960317902598,0.01,17.49,82.51,8.563
39,8453.960317902598,0.009,17.59,82.41,8.612
40,8453.960317902598,0.008,17.1,82.9,8.372
41,8453.960317902598,0.008,14.1,85.9,6.904
42,8453.960317902598,0.009,14.47,85.53,7.086
43,8049.889201702713,0.008,15.52,84.48,7.601
44,8049.889201702713,0.009,13.77,86.23,6.742
45,8049.889201702713,0.009,15.73,84.27,7.703
46,8049.889201702713,0.009,13.99,86.01,6.849
47,8049.889201702713,0.008,15.02,84.98,7.357
48,8049.889201702713,0.011,14.48,85.52,7.089
49,8049.889201702713,0.009,15.32,84.68,7.502
50,8049.889201702713,0.009,14.35,85.65,7.029
51,8049.889201702713,0.009,12.6,87.4,6.17
52,8049.889201702713,0.008,13.42,86.58,6.571
53,8049.889201702713,0.009,11.08,88.92,5.424
54,8049.889201702713,0.008,10.78,89.22,5.278
55,7324.883894471791,0.009,11.52,88.48,5.642
56,5673.651231215188,0.008,10.07,89.93,4.933
57,5673.651231215188,0.009,9.99,90.01,4.89
58,5673.651231215188,0.009,9.08,90.92,4.446
59,5467.54842571274,0.009,7.07,92.93,3.46
60,4647.44271054914,0.009,7.31,92.69,3.581
61,4647.44271054914,0.009,7.21,92.79,3.533
62,3744.4184499820594,0.009,7.47,92.53,3.657
63,2435.4144129422616,0.009,6.21,93.79,3.04
64,2080.3306914700024,0.009,5.47,94.53,2.68
65,1947.2435705460152,0.009,4.41,95.59,2.161
66,825.6603408081146,0.008,3.79,96.21,1.857
67,825.6603408081146,0.008,3.6,96.4,1.761
68,664.9932305821912,0.009,3.07,96.93,1.503
69,664.9932305821912,0.01,2.54,97.46,1.246
70,664.9932305821912,0.009,2.45,97.55,1.198
71,394.57173186402775,0.01,2.3,97.7,1.124
72,255.15128132783568,0.009,1.95,98.05,0.954
73,224.3258383931594,0.01,1.79,98.21,0.876
74,103.33460531508044,0.009,1.54,98.46,0.753
75,103.33460531508044,0.01,1.45,98.55,0.709
76,86.25018566579081,0.009,1.21,98.79,0.594
77,37.54152920672465,0.009,1.08,98.92,0.527
78,37.54152920672465,0.008,1.16,98.84,0.568
79,37.54152920672465,0.008,1.01,98.99,0.493
80,37.54152920672465,0.009,0.89,99.11,0.434
81,37.54152920672465,0.009,0.87,99.13,0.424
82,37.54152920672465,0.01,0.7,99.3,0.345
83,33.11068011743601,0.008,0.68,99.32,0.332
84,32.873006133359155,0.009,0.69,99.31,0.338
85,32.873006133359155,0.008,0.64,99.36,0.315
86,32.873006133359155,0.009,0.64,99.36,0.313
87,32.873006133359155,0.009,0.65,99.35,0.317
88,32.873006133359155,0.009,0.7,99.3,0.341
89,26.909891146067835,0.009,0.67,99.33,0.33
90,14.611953103543925,0.008,0.59,99.41,0.29
91,10.698952336423474,0.009,0.57,99.43,0.278
92,10.698952336423474,0.008,0.51,99.49,0.25
93,9.345431770719413,0.01,0.47,99.53,0.232
94,7.175557243975554,0.008,0.43,99.57,0.211
95,7.175557243975554,0.008,0.4,99.6,0.197
96,7.175557243975554,0.008,0.46,99.54,0.227
97,7.175557243975554,0.009,0.42,99.58,0.206
98,7.175557243975554,0.009,0.38,99.62,0.188
99,7.175557243975554,0.009,0.35,99.65,0.169
100,7.175557243975554,0.009,0.33,99.67,0.164
101,6.8573014654936975,0.01,0.36,99.64,0.177
102,6.8573014654936975,0.009,0.34,99.66,0.167
103,6.426628969431177,0.01,0.27,99.73,0.134
104,6.426628969431177,0.009,0.29,99.71,0.141
105,6.426628969431177,0.009,0.27,99.73,0.13
106,5.808779459679031,0.009,0.28,99.72,0.139
107,4.0815543540608505,0.009,0.29,99.71,0.14
108,3.2813043187187643,0.009,0.29,99.71,0.14
