iter,fitness,time,XPL,XPT,DIV
0,70946.51513216704,0.005,100.0,0.0,48.505
1,58446.54446627835,0.005,72.55,27.45,35.188
2,39515.686050555494,0.007,55.72,44.28,27.027
3,39515.686050555494,0.006,44.91,55.09,21.782
4,39515.686050555494,0.005,38.41,61.59,18.629
5,31844.28591823347,0.007,39.5,60.5,19.159
6,24481.009180524597,0.006,37.66,62.34,18.266
7,16035.134700733075,0.005,30.97,69.03,15.022
8,14330.135021557557,0.006,27.93,72.07,13.549
9,14330.135021557557,0.005,27.28,72.72,13.234
10,10816.311608933931,0.007,25.22,74.78,12.231
11,10816.311608933931,0.005,21.53,78.47,10.443
12,10816.311608933931,0.005,20.83,79.17,10.102
13,6707.752884113528,0.006,23.2,76.8,11.254
14,6707.752884113528,0.006,20.95,79.05,10.164
15,3176.382972768458,0.006,16.11,83.89,7.815
16,2453.7034993262346,0.006,11.84,88.16,5.745
17,2453.7034993262346,0.005,10.7,89.3,5.188
18,1813.959120356044,0.006,11.02,88.98,5.345
19,1813.959120356044,0.005,9.89,90.11,4.799
